DictionaryKanji,DictionaryKana,Type,Meaning
雨が降る,あめがふる,u,it rains
洗う,あらう,u,to wash
言う,いう,u,to say
いる,いる,u,to need
遅くなる,おそくなる,u,to be late
思う,おもう,u,to think
切る,きる,u,to cut
作る,つくる,u,to make
持って行く,もっていく,u,to take (a thing)
じろじろ見る,じろじろみる,ru,to stare (at…)
捨てる,すてる,ru,to throw away
始める,はじめる,ru,to begin
運転する,うんてんする,i,to drive
選択する,せんたくする,i,to do laundry
掃除する,そうじする,i,to clean
電話する,でんわする,i,to call
料理する,りょうりする,i,to cook
