DictionaryKanji,DictionaryKana,Type,Meaning
歌う,うたう.u,to sing
かぶる,かぶる,u, to put on (a hat)
知る,しる,u,to get to know
住む,すむ,u,to live
はく,はく,u,to put on (below waist)
太る,ふとる,u,to gain weight
かける,あける,ru,to put on (glasses)
着る,きる,ru,to put on (above waist)
務める,つとめる,ru,to work for
やせる,やせる,ru,to lose weight
結婚する,けっこんする,i,to get married
