DictionaryKanji,DictionaryKana,Type,Meaning
行く,いく,u,to go
帰る,かえる,u,to return
食べる,たべる,ru,to eat
する,する,i,to do

聞く,きく,u,to listen

飲む,のむ,u,to drink

話す,はなす,u,to speak

読む,よむ,u,to read

起きる,おきる,ru,to wake up

寝る,ねる,ru, to sleep

見る,みる,ru,to see

来る,くる,i,to come

勉強する,べんきょうする,i,to study
