DictionaryKanji,DictionaryKana,Type,Meaning
かかる,かかる,u,to take (time/ money)
泊まる,とまる,u,to stay (hotel...etc.)
なる,なる,u,to become
払う,はらう,u,to pay
決める,きめる,ru,to decide
旅行する,りょこうする,i,to travel
練習する,れんしゅうする,i,to practice
