DictionaryKanji,DictionaryKana,Type,Meaning
踊る,おどる,u,to dance
終わる,おわる,u,(something) ends
人気がある,にんきがある,u,to be popular
始まる,はじまる,u,(something) begins
弾く,ひく,u,to play (a string instrument or piano)
もらう,もらう,u,to get (from somebody)
覚える,おぼえる,ru,to memorize
出る,でる,ru,to appear;to attend/ to exit
運動する,うんどうする,i,to do physical exercises
さんぼする,さんぼする,i,to take a walk
